bin_identifier	identifier	parent_identifiers	type	revision_number
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001		types:monograph	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000001	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000002	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000003	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000004	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000005	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000006	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000007	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000008	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000009	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000010	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000011	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000012	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000013	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000014	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000015	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000016	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000017	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000018	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000019	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000020	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000021	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000022	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000023	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000024	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000025	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000026	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000027	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000028	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000029	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000030	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000031	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000032	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000033	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000034	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000035	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000036	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000037	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000038	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000039	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000040	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000041	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000042	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000043	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000044	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000045	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000046	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000047	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000048	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000049	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000050	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000051	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000052	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000053	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000054	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000055	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000056	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000057	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000058	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000059	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000060	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000061	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000062	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000063	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000064	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000065	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000066	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000067	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000068	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000069	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000070	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000071	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000072	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000073	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000074	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000075	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000076	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000077	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000078	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000079	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000080	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000081	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000082	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000083	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000084	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000085	campe:campe.0001.001	types:fileset	1
01ce37630838c3a1e37039d7a42951fe	campe:campe.0001.001:00000086	campe:campe.0001.001	types:fileset	1
034959c70c38319732ad122b7eb02bd4	bhl:BL001057		types:slide	1
034959c70c38319732ad122b7eb02bd4	bhl:BL001057:BL001057	bhl:BL001057	types:fileset	1
04de55c3c4cf45c9c733d5540ed176ef	bhl:BL001059		types:slide	1
04de55c3c4cf45c9c733d5540ed176ef	bhl:BL001059:BL001059	bhl:BL001059	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001		types:monograph	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000001	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000002	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000003	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000004	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000005	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000006	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000007	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000008	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000009	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000010	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000011	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000012	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000013	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000014	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000015	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000016	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000017	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000018	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000019	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000020	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000021	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000022	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000023	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000024	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000025	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000026	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000027	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000028	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000029	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000030	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000031	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000032	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000033	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000034	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000035	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000036	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000037	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000038	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000039	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000040	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000041	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000042	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000043	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000044	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000045	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000046	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000047	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000048	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000049	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000050	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000051	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000052	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000053	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000054	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000055	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000056	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000057	amjewess:taj1895.0001.001	types:fileset	1
05a5649d0c9aabfc817dd2ccc9e1cfab	amjewess:taj1895.0001.001:00000058	amjewess:taj1895.0001.001	types:fileset	1
05fc37fa0685d3166208dfda5b1f1415	bhl:BL001101		types:slide	1
05fc37fa0685d3166208dfda5b1f1415	bhl:BL001101:BL001101	bhl:BL001101	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003		types:monograph	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000001	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000002	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000003	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000004	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000005	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000006	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000007	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000008	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000009	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000010	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000011	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000012	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000013	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000014	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000015	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000016	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000017	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000018	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000019	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000020	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000021	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000022	amjewess:taj1895.0002.003	types:fileset	1
08859e253936eabe3d365032a447268e	amjewess:taj1895.0002.003:00000023	amjewess:taj1895.0002.003	types:fileset	1
